_id_x,genre,age,nationalite,niveauEtudes,sessionId,__v_x,_id_y,textId,associationType,personAType,valueOneA,valueTwoA,forceA,personBType,valueOneB,valueTwoB,forceB,createdAt,__v_y
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05bb9dacaf24880d98feb,67a243ea6d8e29a001947946,risk-reward,Robot,8,5,8,Personne âgée,2,5,3,2025-03-23T19:06:33.515Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05c02dacaf24880d98fed,67a243ea6d8e29a001947945,risk-reward,Femme petite taille,4,7,5,Robot,6,3,8,2025-03-23T19:07:46.725Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05c25dacaf24880d98fef,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,3,3,Femme petite taille,5,7,5,2025-03-23T19:08:21.185Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05c33dacaf24880d98ff1,67a243ea6d8e29a001947947,effort-reward,Enfant,3,3,3,Femme petite taille,7,7,5,2025-03-23T19:08:35.846Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05c4bdacaf24880d98ff3,67a243ea6d8e29a001947949,effort-reward,Femme grande taille,5,5,7,Homme petite taille,5,5,6,2025-03-23T19:08:59.087Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05cb0dacaf24880d98ff5,67a243ea6d8e29a001947946,risk-reward,Homme petite taille,8,8,6,Personne âgée,2,2,3,2025-03-23T19:10:40.484Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05cd4dacaf24880d98ff7,67a243ea6d8e29a001947944,risk-reward,Homme grande taille,6,6,9,Homme petite taille,4,4,6,2025-03-23T19:11:16.539Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05d72dacaf24880d98ff9,67a243ea6d8e29a001947949,effort-reward,Personne âgée,3,3,3,Femme grande taille,7,7,7,2025-03-23T19:13:54.581Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05dbddacaf24880d98ffb,67a51e546623f6ccab523c27,risk-effort,Homme petite taille,7,8,6,Enfant,3,2,3,2025-03-23T19:15:09.366Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05df9dacaf24880d98ffd,67a243ea6d8e29a001947944,risk-reward,Personne âgée,3,3,3,Homme petite taille,7,7,6,2025-03-23T19:16:09.502Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e09dacaf24880d98fff,67a51efa18a0dfe14aac016b,risk-effort,Personne âgée,7,3,3,Femme petite taille,3,7,5,2025-03-23T19:16:25.884Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e24dacaf24880d99001,67a51eb49d8894e943d3ff93,risk-effort,Femme grande taille,4,5,7,Homme grande taille,6,5,9,2025-03-23T19:16:52.033Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e30dacaf24880d99003,67a51e546623f6ccab523c27,risk-effort,Homme grande taille,8,9,9,Personne âgée,2,1,3,2025-03-23T19:17:04.920Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e61dacaf24880d99005,67a243ea6d8e29a001947948,effort-reward,Personne âgée,3,5,3,Femme grande taille,7,5,7,2025-03-23T19:17:53.227Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e7ddacaf24880d99007,67a243ea6d8e29a001947947,effort-reward,Femme petite taille,2,10,5,Robot,8,0,8,2025-03-23T19:18:21.874Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e8adacaf24880d99009,67a51eb49d8894e943d3ff93,risk-effort,Enfant,1,1,3,Robot,9,9,8,2025-03-23T19:18:34.013Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e9fdacaf24880d9900b,67a243ea6d8e29a001947945,risk-reward,Robot,6,0,8,Femme grande taille,4,10,7,2025-03-23T19:18:55.609Z,0
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05eb5dacaf24880d9900d,67a243ea6d8e29a001947948,effort-reward,Femme grande taille,7,5,7,Enfant,3,5,3,2025-03-23T19:19:17.483Z,0
67e179670ccb86a5c522218b,homme,21,FRA,bac+3,a4237e0c-4bc0-48d7-8a6a-3155792d9cc5,0,67e179ae0ccb86a5c522218f,67a51eb49d8894e943d3ff93,risk-effort,Femme petite taille,6,2,6,Homme petite taille,4,8,7,2025-03-24T15:26:38.151Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bb3355773c59ce2928f5,67a243ea6d8e29a001947948,effort-reward,Femme grande taille,7,5,5,Personne âgée,3,5,1,2025-03-24T20:06:11.383Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bb4b55773c59ce2928f7,67a243ea6d8e29a001947946,risk-reward,Enfant,1,3,2,Homme grande taille,9,7,8,2025-03-24T20:06:35.422Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bbb755773c59ce2928f9,67a243ea6d8e29a001947944,risk-reward,Robot,7,0,10,Femme grande taille,3,10,6,2025-03-24T20:08:23.121Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bbe855773c59ce2928fb,67a51e546623f6ccab523c27,risk-effort,Homme grande taille,0,10,8,Personne âgée,10,0,1,2025-03-24T20:09:12.314Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc1755773c59ce2928fd,67a243ea6d8e29a001947945,risk-reward,Homme grande taille,8,5,8,Femme petite taille,2,5,4,2025-03-24T20:09:59.606Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc5d55773c59ce292902,67a243ea6d8e29a001947949,effort-reward,Femme petite taille,7,8,4,Enfant,3,2,2,2025-03-24T20:11:09.262Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bc8355773c59ce292906,67a51e546623f6ccab523c27,risk-effort,Homme petite taille,10,5,6,Femme grande taille,0,5,6,2025-03-24T20:11:47.944Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bca355773c59ce29290a,67a51efa18a0dfe14aac016b,risk-effort,Femme petite taille,2,10,4,Personne âgée,8,0,1,2025-03-24T20:12:19.435Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bcb755773c59ce29290e,67a243ea6d8e29a001947948,effort-reward,Enfant,0,3,2,Homme grande taille,10,7,8,2025-03-24T20:12:39.161Z,0
67e1ba8f55773c59ce2928f1,homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,0,67e1bcc355773c59ce292910,67a243ea6d8e29a001947945,risk-reward,Homme petite taille,10,5,6,Personne âgée,0,5,1,2025-03-24T20:12:51.087Z,0
